City_ID,City,Country,Max Temp,Weather Description,Humidity,Cloudiness,Wind Speed,Lat,Lng,Hotel Name
3,Bredasdorp,ZA,67.32,scattered clouds,64,34,16.11,-34.5322,20.0403,Bredasdorp Country Manor
4,Barinas,VE,78.84,broken clouds,69,81,3.44,8.6226,-70.2075,Hotel Mastranto Suite
6,Lorengau,PG,84.85,overcast clouds,65,98,9.95,-2.0226,147.2712,Lorengau Harbourside Hotel
7,Sinnamary,GF,75.78,overcast clouds,88,85,8.55,5.3833,-52.95,ALETHEIA Appartement Sinnamary
13,Sao Jose Da Coroa Grande,BR,77.65,few clouds,75,15,5.7,-8.8978,-35.1478,Crôa Mares Hotel
14,Bengkulu,ID,78.24,overcast clouds,79,100,2.84,-3.8004,102.2655,Grage Hotel Bengkulu
15,Arraial Do Cabo,BR,75.49,overcast clouds,88,97,21.16,-22.9661,-42.0278,Pousada Porto Praia
17,Atuona,PF,78.78,few clouds,77,20,16.4,-9.8,-139.0333,Villa Enata
19,Rikitea,PF,78.98,clear sky,69,5,7.52,-23.1203,-134.9692,People ThankYou
20,Muli,MV,82.27,few clouds,72,17,11.21,2.9167,73.5667,Medhufushi Island Resort
22,Hithadhoo,MV,82.17,overcast clouds,74,97,12.55,-0.6,73.0833,Scoop Guest House
25,Avarua,CK,80.65,overcast clouds,78,94,13.8,-21.2078,-159.775,Paradise Inn
26,Puerto Ayora,EC,74.55,scattered clouds,93,46,1.99,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Kapaa,US,76.12,few clouds,76,20,8.05,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Hobart,AU,73.22,few clouds,60,20,11.5,-42.8794,147.3294,Mantra on Collins Hobart
31,Salalah,OM,72.28,clear sky,71,0,1.68,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
32,Grand Gaube,MU,81.0,overcast clouds,83,100,11.01,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
34,Coquimbo,CL,64.13,clear sky,82,0,2.3,-29.9533,-71.3436,Hostel Del Puerto
37,Acapulco,MX,73.38,clear sky,79,0,3.74,16.8634,-99.8901,HS Hotsson Smart Acapulco
