,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Qaanaaq,77.484,-69.3632,1.54,71,100,6.29,GL,overcast clouds
1,Coihaique,-45.5752,-72.0662,54.21,76,0,4.61,CL,clear sky
2,Geraldton,-28.7667,114.6,111.61,7,0,5.75,AU,clear sky
3,Bredasdorp,-34.5322,20.0403,67.32,64,34,16.11,ZA,scattered clouds
4,Barinas,8.6226,-70.2075,78.84,69,81,3.44,VE,broken clouds
5,Derzhavinsk,51.1,66.3167,15.93,75,100,12.97,KZ,overcast clouds
6,Lorengau,-2.0226,147.2712,84.85,65,98,9.95,PG,overcast clouds
7,Sinnamary,5.3833,-52.95,75.78,88,85,8.55,GF,overcast clouds
8,Aleksandrovskoye,44.7142,43.0008,28.54,74,99,19.66,RU,light snow
9,Kaitangata,-46.2817,169.8464,55.98,58,16,7.4,NZ,few clouds
10,Ushuaia,-54.8,-68.3,44.26,87,0,5.75,AR,clear sky
11,Shimoda,34.6667,138.95,48.56,44,19,29.42,JP,few clouds
12,Dikson,73.5069,80.5464,-2.38,91,100,5.44,RU,overcast clouds
13,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.65,75,15,5.7,BR,few clouds
14,Bengkulu,-3.8004,102.2655,78.24,79,100,2.84,ID,overcast clouds
15,Arraial Do Cabo,-22.9661,-42.0278,75.49,88,97,21.16,BR,overcast clouds
16,Mataura,-46.1927,168.8643,59.49,43,10,6.64,NZ,clear sky
17,Atuona,-9.8,-139.0333,78.78,77,20,16.4,PF,few clouds
18,Xinqing,48.2333,129.5,6.33,70,98,7.87,CN,overcast clouds
19,Rikitea,-23.1203,-134.9692,78.98,69,5,7.52,PF,clear sky
20,Muli,2.9167,73.5667,82.27,72,17,11.21,MV,few clouds
21,Bluff,-46.6,168.3333,59.81,59,49,5.82,NZ,scattered clouds
22,Hithadhoo,-0.6,73.0833,82.17,74,97,12.55,MV,overcast clouds
23,Port Hedland,-20.3167,118.5667,95.05,59,58,20.71,AU,broken clouds
24,Albany,42.6001,-73.9662,14.14,85,99,3.22,US,overcast clouds
25,Avarua,-21.2078,-159.775,80.65,78,94,13.8,CK,overcast clouds
26,Puerto Ayora,-0.7393,-90.3518,74.55,93,46,1.99,EC,scattered clouds
27,Kapaa,22.0752,-159.319,76.12,76,20,8.05,US,few clouds
28,Raudeberg,61.9875,5.1352,37.87,76,100,8.99,NO,light snow
29,Phan Thiet,10.9333,108.1,88.52,49,97,21.74,VN,overcast clouds
30,Hobart,-42.8794,147.3294,73.22,60,20,11.5,AU,few clouds
31,Salalah,17.0151,54.0924,72.28,71,0,1.68,OM,clear sky
32,Grand Gaube,-20.0064,57.6608,81.0,83,100,11.01,MU,overcast clouds
33,Punta Arenas,-53.15,-70.9167,46.51,71,0,8.05,CL,clear sky
34,Coquimbo,-29.9533,-71.3436,64.13,82,0,2.3,CL,clear sky
35,Ribeira Grande,38.5167,-28.7,58.86,79,21,5.61,PT,few clouds
36,Cherskiy,68.75,161.3,-31.59,97,8,4.18,RU,clear sky
37,Acapulco,16.8634,-99.8901,73.38,79,0,3.74,MX,clear sky
38,Yellowknife,62.456,-114.3525,-26.45,81,100,6.91,CA,overcast clouds
39,Upernavik,72.7868,-56.1549,-1.71,95,100,11.5,GL,overcast clouds
40,Guerrero Negro,27.9769,-114.0611,59.18,35,0,2.77,MX,clear sky
41,Jamestown,42.097,-79.2353,18.72,86,100,6.91,US,mist
42,Port Alfred,-33.5906,26.891,69.4,84,96,11.9,ZA,light rain
43,Katsuura,35.1333,140.3,46.51,36,98,6.46,JP,overcast clouds
44,Santa Cruz,-17.8,-63.1667,74.66,94,75,11.5,BO,broken clouds
45,New Norfolk,-42.7826,147.0587,72.88,45,85,1.99,AU,overcast clouds
46,Vicuna,-30.0319,-70.7081,56.93,53,0,1.14,CL,clear sky
