City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2022-02-02   03:13:42,-9.8,-139.0333,78.8,74,7,17.69
1,Ushuaia,AR,2022-02-02   03:13:14,-54.8,-68.3,42.46,70,40,33.38
2,Santa Maria,BR,2022-02-02   03:13:42,-29.6842,-53.8069,71.51,58,0,6.76
3,Kavieng,PG,2022-02-02   03:13:42,-2.5744,150.7967,82.31,72,100,6.91
4,Puerto Ayora,EC,2022-02-02   03:13:43,-0.7393,-90.3518,74.55,96,100,5.01
5,Khatanga,RU,2022-02-02   03:13:43,71.9667,102.5,-38.04,99,28,2.3
6,Suez,EG,2022-02-02   03:13:43,29.9737,32.5263,53.8,64,0,5.59
7,Barrow,US,2022-02-02   03:13:35,71.2906,-156.7887,-16.58,69,40,10.36
8,Rikitea,PF,2022-02-02   03:09:59,-23.1203,-134.9692,78.4,69,90,4.99
9,San Patricio,US,2022-02-02   03:13:44,28.017,-97.5169,61.9,82,13,7.63
10,New Norfolk,AU,2022-02-02   03:13:44,-42.7826,147.0587,63.9,43,83,3.0
11,Hargeysa,SO,2022-02-02   03:13:44,9.56,44.065,58.53,94,99,13.67
12,Busselton,AU,2022-02-02   03:13:45,-33.65,115.3333,79.05,36,48,12.91
13,Manta,EC,2022-02-02   03:13:45,-0.95,-80.7333,76.78,88,75,1.14
14,Katsuura,JP,2022-02-02   03:13:45,35.1333,140.3,50.14,36,0,12.82
15,Albany,US,2022-02-02   03:11:27,42.6001,-73.9662,30.78,71,100,1.99
16,Bluff,NZ,2022-02-02   03:13:46,-46.6,168.3333,71.8,85,89,10.56
17,Saldanha,ZA,2022-02-02   03:13:46,-33.0117,17.9442,64.96,96,78,12.19
18,Taoudenni,ML,2022-02-02   03:13:10,22.6783,-3.9836,66.42,25,50,11.79
19,Deputatskiy,RU,2022-02-02   03:13:47,69.3,139.9,-14.19,98,100,1.3
20,Prainha,BR,2022-02-02   03:13:47,-1.8,-53.48,73.02,96,88,3.22
21,Hilo,US,2022-02-02   03:10:49,19.7297,-155.09,74.93,84,0,0.0
22,Garden City,US,2022-02-02   03:13:47,42.3256,-83.331,43.21,83,100,3.44
23,Bathsheba,BB,2022-02-02   03:13:48,13.2167,-59.5167,77.61,78,40,13.8
24,Verkhnyaya Inta,RU,2022-02-02   03:13:48,65.9811,60.3094,4.06,83,98,8.72
25,Vanimo,PG,2022-02-02   03:13:48,-2.6741,141.3028,82.0,78,82,4.41
26,Hermanus,ZA,2022-02-02   03:13:49,-34.4187,19.2345,67.89,85,2,4.45
27,Cabo San Lucas,MX,2022-02-02   03:13:49,22.8909,-109.9124,69.51,62,0,7.0
28,Mar Del Plata,AR,2022-02-02   03:12:09,-38.0023,-57.5575,70.09,87,0,5.99
29,Aransas Pass,US,2022-02-02   03:13:49,27.9095,-97.15,62.6,96,0,1.99
30,Avarua,CK,2022-02-02   03:13:50,-21.2078,-159.775,82.45,78,75,12.66
31,Lompoc,US,2022-02-02   03:13:50,34.6391,-120.4579,55.71,50,0,12.66
32,Georgetown,MY,2022-02-02   03:11:27,5.4112,100.3354,86.9,70,20,1.01
33,Mataura,NZ,2022-02-02   03:13:50,-46.1927,168.8643,71.47,45,98,8.75
34,Port Alfred,ZA,2022-02-02   03:13:51,-33.5906,26.891,77.49,74,100,7.18
35,Puri,IN,2022-02-02   03:13:51,19.8,85.85,66.72,67,1,5.3
36,Kawalu,ID,2022-02-02   03:13:51,-7.3817,108.2082,84.47,63,90,2.13
37,Qaanaaq,GL,2022-02-02   03:13:52,77.484,-69.3632,-19.61,65,100,11.41
38,Kawambwa,ZM,2022-02-02   03:13:52,-9.7915,29.0791,62.26,98,100,2.55
39,Carnarvon,AU,2022-02-02   03:13:52,-24.8667,113.6333,85.68,58,99,8.88
40,Aitape,PG,2022-02-02   03:13:53,-3.1374,142.3475,79.48,85,100,4.79
41,Cape Town,ZA,2022-02-02   03:13:53,-33.9258,18.4232,68.27,83,59,1.99
42,Bafra,TR,2022-02-02   03:13:53,41.5678,35.9069,55.18,71,100,9.55
43,Hasaki,JP,2022-02-02   03:13:53,35.7333,140.8333,50.29,32,0,24.32
44,Fortuna,US,2022-02-02   03:14:54,40.5982,-124.1573,47.93,82,100,5.01
45,Abu Samrah,SY,2022-02-02   03:14:54,35.3029,37.1841,45.91,74,14,4.94
46,East London,ZA,2022-02-02   03:14:54,-33.0153,27.9116,74.34,88,0,2.3
47,Kiruna,SE,2022-02-02   03:14:55,67.8557,20.2251,5.92,92,100,2.3
48,Lake Havasu City,US,2022-02-02   03:11:43,34.4839,-114.3224,57.06,18,100,7.0
49,Kapaa,US,2022-02-02   03:14:55,22.0752,-159.319,77.11,70,0,3.0
50,Lebu,CL,2022-02-02   03:14:55,-37.6167,-73.65,58.15,94,10,9.78
51,Yellowknife,CA,2022-02-02   03:11:02,62.456,-114.3525,-29.58,90,14,5.01
52,Baruun-Urt,MN,2022-02-02   03:14:56,46.6806,113.2792,-2.31,81,8,7.27
53,Saint-Philippe,RE,2022-02-02   03:14:56,-21.3585,55.7679,80.15,94,100,23.85
54,Necochea,AR,2022-02-02   03:14:56,-38.5473,-58.7368,60.04,76,67,6.11
55,Biak,ID,2022-02-02   03:14:57,-0.9131,122.8766,82.02,63,100,0.54
56,Mitsamiouli,KM,2022-02-02   03:14:57,-11.3847,43.2844,81.23,78,96,5.59
57,Vaini,TO,2022-02-02   03:10:50,-21.2,-175.2,84.36,79,75,8.05
58,Darhan,MN,2022-02-02   03:14:58,49.4867,105.9228,-5.64,88,40,4.12
59,Rudbar,AF,2022-02-02   03:14:58,30.15,62.6,56.91,34,95,12.01
60,Portland,US,2022-02-02   03:13:06,45.5234,-122.6762,43.9,86,100,1.01
61,Tuktoyaktuk,CA,2022-02-02   03:14:58,69.4541,-133.0374,-29.2,68,0,4.61
62,Awjilah,LY,2022-02-02   03:14:59,29.1081,21.2869,52.54,47,61,8.16
63,Hobart,AU,2022-02-02   03:10:38,-42.8794,147.3294,64.26,39,75,6.91
64,Tucurui,BR,2022-02-02   03:14:59,-3.7661,-49.6725,73.94,95,100,2.93
65,Mehamn,NO,2022-02-02   03:14:59,71.0357,27.8492,16.05,82,88,9.04
66,Valdivia,CL,2022-02-02   03:15:00,-39.8142,-73.2459,55.49,97,28,1.99
67,Xai-Xai,MZ,2022-02-02   03:15:00,-25.0519,33.6442,71.6,93,1,3.87
68,Karakol,KG,2022-02-02   03:15:00,42.4907,78.3936,14.85,60,9,6.67
69,Lugovoy,KZ,2022-02-02   03:15:01,42.9472,72.7644,28.81,57,23,4.32
70,Aklavik,CA,2022-02-02   03:15:01,68.2191,-135.0107,-15.77,100,96,4.27
71,Tura,IN,2022-02-02   03:15:01,25.5198,90.2201,62.73,53,0,2.26
72,Asmar,AF,2022-02-02   03:15:02,35.0333,71.3581,43.66,32,74,8.84
73,Kodiak,US,2022-02-02   03:15:02,57.79,-152.4072,38.71,87,100,5.75
74,Thompson,CA,2022-02-02   03:14:49,55.7435,-97.8558,-23.64,69,0,6.91
75,Ribnica,SI,2022-02-02   03:15:03,45.7386,14.7275,35.46,88,88,4.03
76,Hithadhoo,MV,2022-02-02   03:15:03,-0.6,73.0833,82.69,70,11,12.03
77,Ilulissat,GL,2022-02-02   03:15:03,69.2167,-51.1,3.22,51,100,9.22
78,Virtsu,EE,2022-02-02   03:15:04,58.5716,23.5115,24.94,80,97,4.68
79,Butaritari,KI,2022-02-02   03:15:04,3.0707,172.7902,82.36,76,19,13.42
80,Cidreira,BR,2022-02-02   03:15:04,-30.1811,-50.2056,72.77,75,0,13.82
81,Tartagal,AR,2022-02-02   03:15:05,-22.5164,-63.8013,74.93,55,31,4.79
82,Umm Kaddadah,SD,2022-02-02   03:15:05,13.6017,26.6876,55.98,23,1,7.18
83,Gold Coast,AU,2022-02-02   03:15:02,-28.0,153.4333,88.38,79,100,11.5
84,Khairagarh,IN,2022-02-02   03:15:06,26.95,77.8167,56.14,63,0,3.11
85,Lewisporte,CA,2022-02-02   03:15:06,49.2499,-55.0482,10.13,78,52,6.87
86,Muncar,ID,2022-02-02   03:15:06,-8.4333,114.3333,85.77,64,27,2.44
87,Yaqui,MX,2022-02-02   03:15:07,27.3667,-110.1667,61.81,48,96,6.08
88,Adrar,MR,2022-02-02   03:15:07,20.5022,-10.0711,67.19,20,62,11.21
89,Kibakwe,TZ,2022-02-02   03:16:07,-6.7167,36.3667,61.95,96,55,0.78
90,Halifax,CA,2022-02-02   03:14:29,44.6453,-63.5724,12.2,79,24,8.05
91,Vestmanna,FO,2022-02-02   03:16:08,62.1564,-7.1664,34.72,87,75,8.05
92,Laguna,US,2022-02-02   03:16:08,38.421,-121.4238,57.49,33,0,5.01
93,Dikson,RU,2022-02-02   03:16:08,73.5069,80.5464,1.71,93,100,16.26
94,Hami,CN,2022-02-02   03:16:09,42.8,93.45,24.67,28,100,0.69
95,Saint George,US,2022-02-02   03:15:59,37.1041,-113.5841,41.95,25,0,4.0
96,Codrington,AU,2022-02-02   03:14:48,-38.2667,141.9667,61.11,53,100,14.18
97,Sorong,ID,2022-02-02   03:15:20,-0.8833,131.25,82.08,71,100,2.46
98,Ghanzi,BW,2022-02-02   03:16:09,-21.5667,21.7833,65.59,95,6,6.58
99,Hobyo,SO,2022-02-02   03:16:10,5.3505,48.5268,77.31,78,100,17.9
100,Bredasdorp,ZA,2022-02-02   03:13:27,-34.5322,20.0403,71.73,80,8,4.03
101,Pangnirtung,CA,2022-02-02   03:16:10,66.1451,-65.7125,-18.85,81,82,6.42
102,Caorle,IT,2022-02-02   03:16:10,45.5966,12.8758,39.45,93,8,4.88
103,Upernavik,GL,2022-02-02   03:16:11,72.7868,-56.1549,-13.68,74,100,5.57
104,Vardo,NO,2022-02-02   03:16:11,70.3705,31.1107,29.43,65,100,16.08
